Time [s],Value,Parity Error,Framing Error
13.194590833333333,0xFF,,
13.195631125000000,0xFE,,
13.196671458333334,0x02,,
13.197711750000000,0x44,,
13.198752083333334,0x30,,
13.199792374999999,0x04,,
13.200832708333333,0x72,,
14.181626750000000,0x7E,,
14.182667041666667,0x00,,
14.183707374999999,0x10,,
14.184747666666667,0x17,,
14.185788000000001,0x01,,
14.186828291666666,0x00,,
14.187868625000000,0x00,,
14.188908916666668,0x00,,
14.189949250000000,0x00,,
14.190989541666667,0x00,,
14.192029874999999,0x00,,
14.193070166666667,0xFF,,
14.194110500000001,0xFF,,
14.195150791666666,0xFF,,
14.196191125000000,0xFE,,
14.197231416666666,0x02,,
14.198271750000000,0x44,,
14.199312041666667,0x30,,
14.200352375000000,0x05,,
14.201392666666667,0x71,,
15.182199583333333,0x7E,,
15.183239875000000,0x00,,
15.184280208333334,0x10,,
15.185320500000000,0x17,,
15.186360791666667,0x01,,
15.187401124999999,0x00,,
15.188441416666667,0x00,,
15.189481750000001,0x00,,
15.190522041666666,0x00,,
15.191562375000000,0x00,,
15.192602666666666,0x00,,
15.193643000000000,0xFF,,
15.194683291666667,0xFF,,
15.195723624999999,0xFF,,
15.196763916666667,0xFE,,
15.197804250000001,0x02,,
15.198844541666666,0x44,,
15.199884875000000,0x30,,
15.200925166666666,0x04,,
15.201965500000000,0x72,,
16.182772208333333,0x7E,,
16.183812541666665,0x00,,
16.184852833333334,0x10,,
16.185893166666666,0x17,,
16.186933458333332,0x01,,
16.187973791666668,0x00,,
16.189014083333333,0x00,,
16.190054374999999,0x00,,
16.191094708333335,0x00,,
16.192135000000000,0x00,,
16.193175333333333,0x00,,
16.194215624999998,0xFF,,
16.195255958333334,0xFF,,
16.196296250000000,0xFF,,
16.197336583333332,0xFE,,
16.198376875000001,0x02,,
16.199417208333333,0x44,,
16.200457499999999,0x30,,
16.201497833333335,0x05,,
16.202538125000000,0x71,,
17.183344708333333,0x7E,,
17.184385041666665,0x00,,
17.185425333333335,0x10,,
17.186465666666667,0x17,,
17.187505958333333,0x01,,
17.188546250000002,0x00,,
17.189586583333334,0x00,,
17.190626875000000,0x00,,
17.191667208333332,0x00,,
17.192707500000001,0x00,,
17.193747833333333,0x00,,
17.194788124999999,0xFF,,
17.195828458333335,0xFF,,
17.196868750000000,0xFF,,
17.197909083333332,0xFE,,
17.198949375000002,0x02,,
17.199989708333334,0x44,,
17.201029999999999,0x30,,
17.202070333333332,0x04,,
17.203110625000001,0x72,,
18.183917375000000,0x7E,,
18.184957666666666,0x00,,
18.185998000000001,0x10,,
18.187038291666667,0x17,,
18.188078624999999,0x01,,
18.189118916666665,0x00,,
18.190159250000001,0x00,,
18.191199541666666,0x00,,
18.192239874999999,0x00,,
18.193280166666668,0x00,,
18.194320500000000,0x00,,
18.195360791666666,0xFF,,
18.196401125000001,0xFF,,
18.197441416666667,0xFF,,
18.198481749999999,0xFE,,
18.199522041666668,0x02,,
18.200562375000001,0x44,,
18.201602666666666,0x30,,
18.202642999999998,0x05,,
18.203683291666668,0x71,,
19.184489916666667,0x7E,,
19.185530249999999,0x00,,
19.186570541666665,0x10,,
19.187610875000001,0x17,,
19.188651166666666,0x01,,
19.189691499999999,0x00,,
19.190731791666668,0x00,,
19.191772125000000,0x00,,
19.192812416666666,0x00,,
19.193852708333335,0x00,,
19.194893041666667,0x00,,
19.195933333333333,0xFF,,
19.196973666666668,0xFF,,
19.198013958333334,0xFF,,
19.199054291666666,0xFE,,
19.200094583333332,0x02,,
19.201134916666668,0x44,,
19.202175208333333,0x30,,
19.203215541666665,0x04,,
19.204255833333335,0x72,,
